HourUTC,HourDK,PriceArea,ConsumerType_DE35,TotalCon
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,340,9916
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,350,58529
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,360,32929
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,370,12905
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,381,10437
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,382,34156
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,390,7487
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,410,11430
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,421,63940
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,422,44406
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,431,24351
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,432,30177
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,433,24087
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,441,51489
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,442,19064
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,443,19678
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,444,11213
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,445,13789
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,446,28074
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,447,14182
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,450,7139
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,461,3924
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,462,4021
2023-06-19T20:00:00,2023-06-19T22:00:00,DK1,999,857328
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,111,56609
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,112,1068
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,119,28355
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,121,123030
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,122,25469
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,123,3632
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,130,13668
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,211,20948
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,212,2063
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,215,235
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,220,996
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,310,18568
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,320,2235
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,330,1732
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,340,4183
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,350,28048
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,360,8908
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,370,791
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,381,628
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,382,34360
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,390,2087
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,410,5287
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,421,37951
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,422,18984
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,431,15304
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,432,38681
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,433,41118
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,441,43805
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,442,5797
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,443,26047
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,444,18467
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,445,10845
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,446,24926
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,447,15844
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,450,5004
2023-06-19T20:00:00,2023-06-19T22:00:00,DK2,461,20315
